"","HH","TH","Truth"
"289",0.127272727272727,0.142397609012039,0.155
"290",0.158333333333333,0.179124249667043,0.18
"291",0.691304347826087,0.881896336099605,0.1875
"292",0,0,0.1125
"293",0,0,0.16
"294",0.190909090909091,0.213596413518059,0.185
"295",0.2,0.199999999999998,0.1375
"296",0.211111111111111,0.231001272079829,0.1675
"297",0.142857142857143,0.16522590081288,0.1525
"298",0.190909090909091,0.213596413518059,0.1675
"299",0,0,0.1875
"300",0.6,0.649240133108039,0.13
"301",0.1625,0.192121519169142,0.1825
"302",0.15,0.173487195853524,0.17
"303",0,0,0.1425
"304",0.1,0.099999999999999,0.1475
"305",0,0,0.135
"306",0.311688311688312,0.341058062426084,0.1425
"307",0.211111111111111,0.231001272079829,0.14
"308",0.396666666666667,0.443040772894431,0.1425
"309",0,0,0.165
"310",0.538235294117647,0.626368574431158,0.1325
"311",0.184210526315789,0.225043073999712,0.1225
"312",0,0,0.14
"313",0.181818181818182,0.203425155731484,0.14
"314",0.155555555555556,0.170211463637769,0.1425
"315",0.369230769230769,0.422360105519002,0.15
"316",0,0,0.125
"317",0,0,0.1325
"318",0.154545454545455,0.172911382371762,0.125
"319",0,0,0.1625
"320",0.154545454545455,0.172911382371762,0.1475
"321",0.145454545454545,0.162740124585188,0.15
"322",0.155555555555556,0.170211463637769,0.1225
"323",0,0,0.1775
"324",0.3,0.310360834798674,0.1325
"325",0,0,0.135
"326",0.276470588235294,0.310935700524612,0.125
"327",0.17,0.18810051432061,0.1225
"328",0,0,0.16
"329",0.416666666666667,0.471379604386956,0.17
"330",0.19,0.234651292465899,0.1425
"331",0.194117647058824,0.232029270577074,0.155
"332",0.190625,0.267585586669198,0.155
"333",0.142857142857143,0.152860618231202,0.165
"334",0.172727272727273,0.19325389794491,0.1675
"335",0.230769230769231,0.263975065949376,0.1475
"336",0,0,0.1425
"337",0.18,0.199165250457117,0.1675
"338",0.17,0.209951156416857,0.17
"339",0.47,0.580453197152487,0.1825
"340",0,0,0.215
"341",0,0,0.1225
"342",0.37,0.388890323122372,0.13
"343",0,0,0.1575
"344",0,0,0.1625
"345",0.183333333333333,0.20740702593026,0.145
"346",0.175,0.197979433842521,0.1625
"347",0,0,0.1525
"348",0.1875,0.221678675964395,0.1225
"349",0,0,0.165
"350",0.218181818181818,0.244110186877781,0.1575
"351",0,0,0.1375
